id;name;description;due_date
1;withdrawal Moldovan Leu Intelligent;Analyst Technician;2020-01-24
2;matrices;payment Chair methodologies;2020-01-24
3;Baby morph;South Dakota;2020-01-24
4;Frozen Turnpike Stream;Human transmit Usability;2020-01-24
5;Pakistan Rupee proactive reboot;zero administration;2020-01-24
6;Fresh back up Pa'anga;web-enabled back-end optical;2020-01-24
7;Uganda Shilling driver;Reduced;2020-01-24
8;Avon interface Orchestrator;integrate;2020-01-24
9;Flats programming Industrial;architectures Executive multi-tasking;2020-01-23
10;input;Applications Dynamic;2020-01-24
